Rk,Name,From,To,Draft,Tm,Lg,G,GS,Cmp,Att,CmpPct,Yds,TD,Int,IntPct,Rate,Sk,Y/A,SkYds,AY/A,ANY/A,Y/G,W,L,T
112,Dan Pastorini,1971,1983,1-3,TOT,NFL,140,117,1556,3055,50.93,18515,103,161,5.27,59.1,246,6.06,2229,4.36,3.36,132.3,56,61,0
113,Rodney Peete,1989,2004,6-141,TOT,NFL,104,87,1344,2346,57.29,16338,76,92,3.92,73.3,244,6.96,1372,5.85,4.77,157.1,45,42,0
114,Steve Pelluer,1984,1990,5-113,TOT,NFL,65,30,548,974,56.26,6870,29,39,4.00,71.6,81,7.05,570,5.85,4.86,105.7,9,20,1
115,Chad Pennington,2000,2010,1-18,TOT,NFL,89,81,1632,2471,66.05,17823,102,64,2.59,90.1,162,7.21,965,6.87,6.08,200.3,44,37,0
116,Mike Phipps,1970,1981,1-3,TOT,NFL,119,71,886,1799,49.25,10506,55,108,6.00,52.6,172,5.84,1514,3.75,2.65,88.3,38,31,2
117,Joe Pisarcik,1977,1984,,TOT,NFL,61,30,425,898,47.33,5552,24,48,5.35,53.9,112,6.18,845,4.31,3.00,91.0,9,21,0
118,Jake Plummer,1997,2006,2-42,TOT,NFL,143,136,2484,4350,57.10,29253,161,161,3.70,74.6,284,6.72,1735,5.80,5.07,204.6,69,67,0
119,Jim Plunkett,1971,1986,1-1,TOT,NFL,157,144,1943,3701,52.50,25882,164,198,5.35,67.5,380,6.99,3279,5.47,4.16,164.9,72,72,0
120,Steve Ramsey,1970,1976,5-126,TOT,NFL,54,31,456,921,49.51,6437,35,58,6.30,58.9,110,6.99,792,4.92,3.62,119.2,14,17,0
121,Mark Rypien,1988,2001,6-146,TOT,NFL,104,78,1466,2613,56.10,18473,115,88,3.37,78.9,97,7.07,664,6.43,5.96,177.6,47,31,0
122,Jay Schroeder,1985,1994,3-83,TOT,NFL,118,99,1426,2808,50.78,20063,114,108,3.85,71.7,208,7.14,1600,6.23,5.27,170.0,61,38,0
123,Dennis Shaw,1970,1975,2-30,TOT,NFL,50,37,489,924,52.92,6347,35,68,7.36,56.8,124,6.87,1072,4.31,2.78,126.9,8,27,2
124,Phil Simms,1979,1993,1-7,NYG,NFL,164,159,2576,4647,55.43,33462,199,157,3.38,78.5,477,7.20,3418,6.54,5.26,204.0,95,64,0
125,Brian Sipe,1974,1983,13-330,CLE,NFL,125,112,1944,3439,56.53,23713,154,149,4.33,74.8,224,6.90,1889,5.84,4.97,189.7,57,55,0
126,Norm Snead,1970,1976,1-25-35AFL,TOT,NFL,65,49,772,1360,56.76,9142,54,82,6.03,65.5,73,6.72,574,4.80,4.16,140.6,18,29,2
127,Steve Spurrier,1970,1976,1-3,TOT,NFL,72,32,493,955,51.62,5741,35,42,4.40,64.0,71,6.01,547,4.77,3.90,79.7,11,20,1
128,Ken Stabler,1970,1984,2-52,TOT,NFL,184,146,2270,3793,59.85,27938,194,222,5.85,75.3,281,7.37,2514,5.75,4.74,151.8,96,49,1
129,Roger Staubach*,1970,1979,10-12916-122AFL,DAL,NFL,125,113,1662,2911,57.09,22279,152,107,3.68,83.6,301,7.65,2048,7.04,5.75,178.2,84,29,0
130,Kordell Stewart,1995,2005,2-60,TOT,NFL,125,87,1316,2358,55.81,14746,77,84,3.56,70.7,170,6.25,1048,5.30,4.53,118.0,48,34,0
131,Fran Tarkenton*,1970,1978,3-295-34AFL,TOT,NFL,120,120,2056,3445,59.68,23863,156,132,3.83,79.8,238,6.93,2048,6.11,5.16,198.9,77,41,2
132,Vinny Testaverde,1987,2007,1-1,TOT,NFL,233,214,3787,6701,56.51,46233,275,267,3.98,75.0,417,6.90,2992,5.93,5.16,198.4,90,123,1
133,Joe Theismann,1974,1985,4-99,WAS,NFL,167,124,2044,3602,56.75,25206,160,138,3.83,77.4,340,7.00,2757,6.16,4.93,150.9,77,47,0
134,Richard Todd,1976,1985,1-6,TOT,NFL,119,108,1610,2967,54.26,20610,124,161,5.43,67.6,264,6.95,2127,5.34,4.25,173.2,48,59,1
135,Billy Joe Tolliver,1989,1999,2-51,TOT,NFL,79,47,891,1707,52.20,10760,59,64,3.75,67.7,125,6.30,877,5.31,4.47,136.2,15,32,0
