Rk,Name,From,To,Draft,Tm,Lg,G,GS,Cmp,Att,CmpPct,Yds,TD,Int,IntPct,Rate,Sk,Y/A,SkYds,AY/A,ANY/A,Y/G,W,L,T
49,Matt Ryan,2008,2015,1-3,ATL,NFL,119,119,2747,4273,64.29,30868,193,98,2.29,91.3,205,7.22,1347,7.10,6.47,259.4,72,47,0
50,Mark Sanchez,2009,2014,1-5,TOT,NFL,71,70,1226,2176,56.34,14510,82,80,3.68,74.1,149,6.67,969,5.77,4.98,204.4,37,33,0
51,Matt Schaub,2004,2014,3-90,TOT,NFL,139,90,2040,3191,63.93,24311,130,86,2.70,89.5,175,7.62,1199,7.22,6.49,174.9,46,44,0
52,Alex Smith,2005,2015,1-1,TOT,NFL,118,113,2071,3417,60.61,22827,131,79,2.31,83.6,308,6.68,1778,6.41,5.40,193.4,60,52,1
53,Brad Smith,2006,2014,4-103,TOT,NFL,127,24,4,10,40.00,51,1,2,20.00,50.4,1,5.10,6,-1.90,-2.27,0.4,0,0,0
54,Geno Smith,2013,2015,2-39,NYJ,NFL,31,29,493,852,57.86,5836,27,35,4.11,72.3,74,6.85,509,5.63,4.63,188.3,11,18,0
55,Matthew Stafford,2009,2015,1-1,DET,NFL,85,85,2041,3398,60.06,23797,144,96,2.83,83.7,183,7.00,1235,6.58,5.90,280.0,36,49,0
56,Drew Stanton,2008,2015,2-43,TOT,NFL,23,12,237,431,54.99,2879,12,14,3.25,71.5,28,6.68,170,5.77,5.05,125.2,7,5,0
57,Ryan Tannehill,2012,2015,1-8,MIA,NFL,56,56,1221,1961,62.26,13489,76,51,2.60,84.7,162,6.88,1193,6.48,5.43,240.9,26,30,0
58,Tyler Thigpen,2007,2014,7-217,TOT,NFL,29,12,275,509,54.03,3222,21,18,3.54,72.5,35,6.33,221,5.56,4.80,111.1,1,11,0
59,Michael Vick,2001,2015,1-1,TOT,NFL,143,115,1807,3217,56.17,22464,133,88,2.74,80.4,316,6.98,1879,6.58,5.46,157.1,61,51,1
60,Brandon Weeden,2012,2015,1-22,TOT,NFL,32,24,533,923,57.75,6158,28,30,3.25,74.6,64,6.67,437,5.82,5.00,192.4,5,19,0
61,Russell Wilson,2012,2015,3-75,SEA,NFL,56,56,955,1486,64.27,11828,81,32,2.15,98.0,150,7.96,886,8.08,6.80,211.2,40,16,0
